tire_id,vehicle_id,timestamp,pressure,temperature,speed,load,tread_depth,mileage,braking_events,acceleration,road_type,weather,maintenance_history,failure,failure_type,pressure_sensor_fault,temperature_sensor_fault,tread_sensor_fault,pressure_true,temperature_true,tread_depth_true,is_synthetic
V-0000-T0,V-0000,2026-01-01 00:00:00,32.5556238604982,19.88571212077412,76.09,416.8,7.814312996337493,38.05,2,-1.953,off_road,snow,0,0,none,none,none,stuck,32.556,19.886,7.814,True
V-0000-T1,V-0000,2026-01-01 00:00:00,32.94380152332272,21.601566023430717,72.56,474.7,9.67011742560093,36.28,0,-1.28,urban,snow,0,0,none,none,none,none,32.944,21.602,9.67,True
V-0000-T2,V-0000,2026-01-01 00:00:00,31.685603945407745,21.731426174371297,87.59,562.22,7.646867046658801,43.79,2,-1.289,urban,snow,0,0,none,none,none,none,31.686,21.731,7.647,True
V-0000-T3,V-0000,2026-01-01 00:00:00,30.10406054540212,25.426395175581487,77.38,423.29,8.94212085556196,38.69,3,1.834,rural,clear,0,0,none,none,none,none,30.104,25.426,8.942,True
V-0001-T0,V-0001,2026-01-01 00:00:00,30.87967915482945,22.933180273883917,66.91,465.73,9.423554183780091,33.45,0,0.798,highway,rain,0,0,none,none,none,none,30.88,22.933,9.424,True
V-0001-T1,V-0001,2026-01-01 00:00:00,31.688374259280675,22.436949321668347,77.31,533.02,7.63864763451478,38.65,3,-1.221,urban,snow,0,0,none,none,none,none,31.688,22.437,7.639,True
V-0001-T2,V-0001,2026-01-01 00:00:00,30.406757772746058,30.10495435925616,82.32,590.32,8.067367017385502,41.16,0,-1.26,rural,extreme_heat,0,0,none,none,none,none,30.407,30.105,8.067,True
V-0001-T3,V-0001,2026-01-01 00:00:00,31.05600013555472,19.654320835141295,53.51,552.05,8.369908835966761,26.76,1,-1.757,off_road,snow,0,0,none,none,none,none,31.056,19.654,8.37,True
V-0002-T0,V-0002,2026-01-01 00:00:00,33.68709815477931,21.430026072742834,80.86,446.76,7.8716288517287,40.43,1,0.328,rural,rain,0,0,none,none,none,none,33.687,21.43,7.872,True
V-0002-T1,V-0002,2026-01-01 00:00:00,33.5397236584139,24.46776496157091,87.43,517.89,7.5702162431420055,43.71,0,0.101,highway,clear,0,0,none,none,none,none,33.54,24.468,7.57,True
V-0002-T2,V-0002,2026-01-01 00:00:00,33.090190029821436,25.28405550667295,75.78,550.5,9.560045832461508,37.89,2,-0.958,highway,snow,0,0,none,none,none,none,33.09,25.284,9.56,True
V-0002-T3,V-0002,2026-01-01 00:00:00,31.51842156682333,22.77041419279129,64.5,619.6,9.494550652354157,32.25,1,-2.524,rural,snow,0,0,none,none,none,none,31.518,22.77,9.495,True
V-0003-T0,V-0003,2026-01-01 00:00:00,31.41899946757675,23.677490457299577,63.3,513.02,9.099137987557686,31.65,1,1.19,rural,rain,0,0,none,none,none,none,31.419,23.677,9.099,True
V-0003-T1,V-0003,2026-01-01 00:00:00,30.283526704980858,23.18038276321864,63.03,463.01,8.59349522049373,31.51,0,-0.287,off_road,rain,0,0,none,none,none,none,30.284,23.18,8.593,True
V-0003-T2,V-0003,2026-01-01 00:00:00,34.30292375444021,26.162705656158415,44.49,409.34,9.77223650365596,22.24,0,0.746,urban,extreme_heat,0,0,none,drift,none,none,31.847,26.163,9.772,True
V-0003-T3,V-0003,2026-01-01 00:00:00,30.87637736254774,22.50287416557033,72.85,555.24,9.297781379436344,36.42,2,-0.464,urban,snow,0,0,none,none,none,none,30.876,22.503,9.298,True
V-0004-T0,V-0004,2026-01-01 00:00:00,31.259728858902992,27.55715511398221,79.14,447.05,7.6273457370225985,39.57,0,-0.573,highway,extreme_heat,0,0,none,none,none,none,31.26,27.557,7.627,True
V-0004-T1,V-0004,2026-01-01 00:00:00,33.503387172557346,21.333778603238237,46.08,538.96,8.961480250707309,23.04,0,0.019,rural,rain,0,0,none,none,none,none,33.503,21.334,8.961,True
V-0004-T2,V-0004,2026-01-01 00:00:00,33.65610702562884,25.350944788424933,79.61,535.72,7.786336250386493,39.81,1,-0.635,rural,clear,0,0,none,none,none,none,33.656,25.351,7.786,True
V-0004-T3,V-0004,2026-01-01 00:00:00,32.243389203319275,19.36549786782241,68.41,365.01,8.744071732643908,34.2,0,-1.984,off_road,snow,0,0,none,none,none,none,32.243,19.365,8.744,True
V-0005-T0,V-0005,2026-01-01 00:00:00,31.595518687228253,19.9414112284986,50.06,531.98,9.98789959451433,25.03,1,1.949,urban,snow,0,0,none,none,none,none,31.596,19.941,9.988,True
V-0005-T1,V-0005,2026-01-01 00:00:00,30.36155431536184,27.45948175143208,62.87,559.0,7.32210426097916,31.44,1,-1.425,rural,extreme_heat,0,0,none,none,none,none,30.362,27.459,7.322,True
V-0005-T2,V-0005,2026-01-01 00:00:00,33.166234124118525,20.895122565503275,63.22,567.22,7.184235975060289,31.61,0,0.652,urban,snow,0,0,none,none,none,none,33.166,20.895,7.184,True
V-0005-T3,V-0005,2026-01-01 00:00:00,33.98240218762706,22.82503157927459,74.75,452.47,9.906619340824728,37.38,3,0.033,urban,snow,0,0,none,none,none,none,33.982,22.825,9.907,True
V-0006-T0,V-0006,2026-01-01 00:00:00,30.043840754437944,27.637419072447432,102.04,480.85,9.034103528591334,51.02,0,0.269,rural,clear,0,0,none,none,none,none,30.044,27.637,9.034,True
V-0006-T1,V-0006,2026-01-01 00:00:00,31.065217426476835,23.689340126173338,74.4,608.74,7.3218304369452545,37.2,0,0.535,off_road,snow,0,0,none,none,none,none,31.065,23.689,7.322,True
V-0006-T2,V-0006,2026-01-01 00:00:00,31.812811491983492,31.81617489382188,99.27,404.9,9.612148721694735,49.63,0,-1.39,off_road,extreme_heat,0,0,none,none,none,none,31.813,31.816,9.612,True
V-0006-T3,V-0006,2026-01-01 00:00:00,32.00026111886786,27.415213974964313,62.2,389.87,9.731827977721206,31.1,1,-2.206,rural,extreme_heat,0,0,none,none,drift,none,32.0,26.39,9.732,True
V-0007-T0,V-0007,2026-01-01 00:00:00,31.191695832461196,23.021888373391302,49.69,525.08,8.819521818940949,24.84,0,2.995,off_road,rain,0,0,none,none,none,none,31.192,23.022,8.82,True
V-0007-T1,V-0007,2026-01-01 00:00:00,33.047959866967275,28.61609837837628,128.28,533.15,9.320852117367103,64.14,1,0.402,urban,clear,0,0,none,none,none,none,33.048,28.616,9.321,True
V-0007-T2,V-0007,2026-01-01 00:00:00,30.000204251178438,22.230859713731867,53.74,466.77,7.054625351748456,26.87,1,1.599,highway,rain,0,0,none,none,none,none,30.0,22.231,7.055,True
V-0007-T3,V-0007,2026-01-01 00:00:00,33.5128041779594,26.180452821868077,73.14,487.31,7.917363995436482,36.57,1,-0.729,highway,clear,0,0,none,none,none,none,33.513,26.18,7.917,True
V-0008-T0,V-0008,2026-01-01 00:00:00,30.31294485983213,32.44965430747792,68.92,641.43,9.441809560829244,34.46,1,-0.749,highway,extreme_heat,0,0,none,none,none,none,30.313,32.45,9.442,True
V-0008-T1,V-0008,2026-01-01 00:00:00,32.12874134478473,26.003650455298118,46.3,422.79,8.972696228988594,23.15,1,-1.232,off_road,extreme_heat,0,0,none,none,none,none,32.129,26.004,8.973,True
